,0,1,2,3,4,5,6,7
A,0.11805995553731918,0.329222708940506,0.03406090289354324,0.3116838335990906,0.014617484994232655,0.02392372488975525,0.6791982650756836,0.24972906708717346
AAL,0.16834533214569092,0.2331686168909073,0.27895915508270264,0.450575590133667,0.34854578971862793,0.2690413296222687,0.6431829333305359,0.1591169536113739
AAP,0.14884509146213531,0.27164506912231445,0.0413169264793396,0.26198652386665344,0.010297870263457298,0.053460244089365005,0.7174947261810303,0.2541797459125519
AAPL,0.137790709733963,0.27297213673591614,0.01310159545391798,0.2699296772480011,0.012786018662154675,0.037579916417598724,0.6867049932479858,0.24780508875846863
ABBV,0.12582549452781677,0.3170433044433594,0.030197838321328163,0.35723283886909485,0.03485066443681717,0.015008978545665741,0.7272355556488037,0.2392398566007614
ABC,0.14060388505458832,0.2798055410385132,0.02392297238111496,0.27873483300209045,0.009784907102584839,0.03286709636449814,0.7694315314292908,0.24880370497703552
ABMD,0.1751856803894043,0.2346455454826355,0.09706243872642517,0.2871232330799103,0.08366933465003967,0.07705474644899368,0.7961435317993164,0.24214376509189606
ABT,0.1450318694114685,0.3513505756855011,0.00362340547144413,0.26101163029670715,0.0008825146942399442,0.04019157215952873,0.6625693440437317,0.23649170994758606
ACN,0.1641755998134613,0.3487700819969177,0.0,0.273605614900589,0.0,0.018793299794197083,0.7008174061775208,0.2526414692401886
ADI,0.14166824519634247,0.2486317902803421,0.030518826097249985,0.2664778232574463,0.013357474468648434,0.0972418412566185,0.7254343628883362,0.2715907394886017
ADM,0.10330355167388916,0.32868677377700806,0.01020707469433546,0.29860320687294006,0.002902164589613676,0.017117654904723167,0.6646208167076111,0.25696977972984314
ADP,0.1138855442404747,0.328196257352829,0.030670825392007828,0.3031744658946991,0.019709289073944092,0.03338511288166046,0.7176742553710938,0.24849535524845123
ADSK,0.12391411513090134,0.3293438255786896,0.05400210991501808,0.3174721598625183,0.05501750484108925,0.08915471285581589,0.631538987159729,0.2478874921798706
AEE,0.13709858059883118,0.3767276406288147,0.021205084398388863,0.2794795632362366,0.015137791633605957,0.010049376636743546,0.6790151596069336,0.23781709372997284
AEP,0.1274459958076477,0.4078467786312103,0.013477874919772148,0.26942434906959534,0.007664730306714773,0.021618714556097984,0.648950457572937,0.25591206550598145
AES,0.144257053732872,0.3464173376560211,0.037738531827926636,0.3184593617916107,0.058916911482810974,0.023362401872873306,0.6896990537643433,0.2700940668582916
AFL,0.16713197529315948,0.35482993721961975,0.06535656750202179,0.33042478561401367,0.08295983076095581,0.04175923019647598,0.6252185702323914,0.2485869973897934
AIG,0.11829523742198944,0.2448940873146057,0.07077807188034058,0.39438024163246155,0.11428756266832352,0.03130260854959488,0.7373604774475098,0.22056075930595398
AIZ,0.15715932846069336,0.315652072429657,0.03646388649940491,0.25470009446144104,0.034450143575668335,0.01848675310611725,0.7057010531425476,0.26340317726135254
AJG,0.11763174831867218,0.3914128243923187,0.03512538969516754,0.3362554907798767,0.04110826924443245,0.036517392843961716,0.5972965359687805,0.22864662110805511
AKAM,0.15725678205490112,0.3005838394165039,0.034118883311748505,0.23038606345653534,0.026266712695360184,0.019482390955090523,0.6676713824272156,0.25462013483047485
ALB,0.21010541915893555,0.3007153570652008,0.0935688391327858,0.28241610527038574,0.06495857983827591,0.059811726212501526,0.7282644510269165,0.26490774750709534
ALGN,0.12352700531482697,0.25182196497917175,0.06135831028223038,0.4095977544784546,0.11750155687332153,0.10780441015958786,0.6637997627258301,0.19507460296154022
ALK,0.11590389162302017,0.33389991521835327,0.12616132199764252,0.40414586663246155,0.14101538062095642,0.07947167009115219,0.6378723382949829,0.23806075751781464
ALL,0.1209087073802948,0.33779552578926086,0.022060412913560867,0.28851866722106934,0.01772092655301094,0.019673272967338562,0.6341816782951355,0.24456189572811127
ALLE,0.13030581176280975,0.3146257996559143,0.004025488626211882,0.22638492286205292,0.002290511503815651,0.020681824535131454,0.659904420375824,0.2728467881679535
AMAT,0.13453294336795807,0.26647332310676575,0.03950779512524605,0.3094440996646881,0.04740577191114426,0.0747368186712265,0.6834912300109863,0.2404414415359497
AMCR,0.13372236490249634,0.3490675985813141,0.05546765774488449,0.27884411811828613,0.030466433614492416,0.05724005028605461,0.6781132817268372,0.26396453380584717
AMD,0.19991695880889893,0.2748282253742218,0.061794836074113846,0.26433780789375305,0.08200892806053162,0.0874529555439949,0.5861332416534424,0.23175588250160217
AME,0.12178771942853928,0.3066283166408539,0.005123821087181568,0.27850550413131714,0.02171195112168789,0.021580005064606667,0.7198851704597473,0.25406503677368164
AMGN,0.13725285232067108,0.2835794687271118,0.0047714910469949245,0.2991790175437927,0.0016747730551287532,0.02242657169699669,0.7620718479156494,0.24936695396900177
AMP,0.14048269391059875,0.2761138677597046,0.0464942529797554,0.36802253127098083,0.07004470378160477,0.03746458888053894,0.6999531984329224,0.2154127061367035
AMT,0.1515534669160843,0.35456451773643494,0.021219957619905472,0.27459824085235596,0.012310478836297989,0.019429700449109077,0.6980757713317871,0.2225247621536255
AMZN,0.12137360870838165,0.28914856910705566,0.022415444254875183,0.25379183888435364,0.006833409890532494,0.02554371766746044,0.7142308950424194,0.23195350170135498
ANET,0.14649170637130737,0.22530846297740936,0.11159373819828033,0.32213395833969116,0.10971446335315704,0.09579254686832428,0.6971125602722168,0.2521234452724457
ANSS,0.13441240787506104,0.34617167711257935,0.032758813351392746,0.27332717180252075,0.02929745428264141,0.045869357883930206,0.6534083485603333,0.2701195478439331
ANTM,0.17568227648735046,0.3230130672454834,0.0896875411272049,0.3454238772392273,0.09421326220035553,0.06771846115589142,0.6976078748703003,0.26847463846206665
AON,0.15663780272006989,0.35205942392349243,0.01599467173218727,0.2888886034488678,0.02134782075881958,0.024447256699204445,0.6768497824668884,0.26436638832092285
AOS,0.1427331119775772,0.3316376507282257,0.019280381500720978,0.2643284797668457,0.002759618451818824,0.015046058222651482,0.6831516027450562,0.24454551935195923
APA,0.13785889744758606,0.20379015803337097,0.13721105456352234,0.6776248812675476,0.3776841163635254,0.10468526929616928,0.7761909365653992,0.1371186524629593
APD,0.15209202468395233,0.3686373233795166,0.02710605412721634,0.2874915599822998,0.006174623034894466,0.027692832052707672,0.6685120463371277,0.2665427327156067
APH,0.15028083324432373,0.37248584628105164,0.024705616757273674,0.29860812425613403,0.016356490552425385,0.042971398681402206,0.6415136456489563,0.21808528900146484
APTV,0.14662718772888184,0.23830921947956085,0.026773003861308098,0.2819441258907318,0.057760100811719894,0.0728069618344307,0.7068050503730774,0.265249639749527
ARE,0.1065516322851181,0.40500378608703613,0.019842837005853653,0.26734670996665955,0.008719044737517834,0.017735779285430908,0.5862313508987427,0.22306323051452637
ATO,0.13318133354187012,0.37466663122177124,0.021363822743296623,0.28012439608573914,0.010888081975281239,0.0088203689083457,0.7259064316749573,0.2853711247444153
ATVI,0.16957351565361023,0.245266854763031,0.044561758637428284,0.2749459743499756,0.054879844188690186,0.05853617936372757,0.7566774487495422,0.2638698220252991
AVB,0.10713284462690353,0.3862694799900055,0.02254076860845089,0.30550968647003174,0.03230135515332222,0.01967717334628105,0.6075674891471863,0.21914361417293549
AVGO,0.18033170700073242,0.28123238682746887,0.06319855153560638,0.2774445414543152,0.05715114250779152,0.04841228574514389,0.7035278081893921,0.24540293216705322
AVY,0.15309002995491028,0.2976415157318115,0.041475556790828705,0.25341111421585083,0.00565674714744091,0.03704865649342537,0.7012291550636292,0.2709139585494995
AWK,0.15323713421821594,0.3965661823749542,0.034163642674684525,0.26496031880378723,0.024014508351683617,0.03127642348408699,0.6292744874954224,0.28026992082595825
AXP,0.1551869660615921,0.2983708381652832,0.01941264234483242,0.32043322920799255,0.05114518851041794,0.051437973976135254,0.6898791790008545,0.26207634806632996
AZO,0.133217453956604,0.3203238844871521,0.03964575380086899,0.2844744026660919,0.014675108715891838,0.06987865269184113,0.660781979560852,0.24636907875537872
BA,0.19007155299186707,0.2167590856552124,0.08684363961219788,0.33270251750946045,0.14869771897792816,0.07029443979263306,0.7534583806991577,0.23005564510822296
BAC,0.12413077056407928,0.2766258120536804,0.020953770726919174,0.3175341486930847,0.04618019238114357,0.023907694965600967,0.7470114231109619,0.23839108645915985
BAX,0.11751717329025269,0.380214661359787,0.01705145835876465,0.3107559084892273,0.0011978482361882925,0.02751433104276657,0.6886448860168457,0.2587154507637024
BBWI,0.1315409243106842,0.20304469764232635,0.09636088460683823,0.3781868815422058,0.10168414562940598,0.07874318212270737,0.7115061283111572,0.19985367357730865
BBY,0.1638299971818924,0.23459675908088684,0.014867600053548813,0.2644886374473572,0.026019854471087456,0.06660677492618561,0.6908408403396606,0.22353798151016235
BDX,0.1498449146747589,0.3079768717288971,0.008767497725784779,0.31582963466644287,0.00450066477060318,0.01433014590293169,0.7483415603637695,0.25264254212379456
BEN,0.11829549074172974,0.26648959517478943,0.007891467772424221,0.2766397297382355,0.0007468273397535086,0.013225344009697437,0.7704783082008362,0.24908345937728882
BIIB,0.23033656179904938,0.27957072854042053,0.04512347653508186,0.2954055070877075,0.05760028585791588,0.0299341082572937,0.7950006127357483,0.23426732420921326
BIO,0.1309087872505188,0.3106691241264343,0.03654848784208298,0.27119752764701843,0.019270770251750946,0.05531219393014908,0.7154492139816284,0.2522569000720978
BK,0.1577160358428955,0.30267584323883057,0.020664766430854797,0.29609671235084534,0.02454957738518715,0.037816744297742844,0.6852856874465942,0.2374158501625061
BKNG,0.1258934885263443,0.27603963017463684,0.01580023020505905,0.31922659277915955,0.03324837610125542,0.04771023616194725,0.7489203810691833,0.20230944454669952
BKR,0.17035609483718872,0.25587812066078186,0.04532039910554886,0.34726816415786743,0.06222313269972801,0.04322424530982971,0.8080764412879944,0.20465344190597534
BLK,0.13792036473751068,0.3002290725708008,0.03708169609308243,0.3381584584712982,0.024926692247390747,0.031972650438547134,0.7124360799789429,0.24569356441497803
BLL,0.19014155864715576,0.34688639640808105,0.061958424746990204,0.2467881441116333,0.006399206351488829,0.038229864090681076,0.643502414226532,0.2871781587600708
BMY,0.121675044298172,0.3450447618961334,0.041379332542419434,0.2727038562297821,0.006404280196875334,0.023834625259041786,0.7042041420936584,0.2831149399280548
BR,0.16136863827705383,0.33517172932624817,0.009704053401947021,0.2637925446033478,0.0021403313148766756,0.014894220978021622,0.7580821514129639,0.2754059433937073
BRO,0.13192437589168549,0.33976951241493225,0.025743955746293068,0.31871339678764343,0.006599642336368561,0.023412328213453293,0.6562771201133728,0.26709210872650146
BSX,0.15508978068828583,0.2741059958934784,0.033516719937324524,0.27752992510795593,0.016286112368106842,0.044878799468278885,0.7122883796691895,0.23924480378627777
BWA,0.12482207268476486,0.2576822340488434,0.022044526413083076,0.2985219657421112,0.03102974407374859,0.05970321595668793,0.757293164730072,0.2529059648513794
BXP,0.12199762463569641,0.3471924364566803,0.00223007844761014,0.29773062467575073,0.03429064154624939,0.037976089864969254,0.6728807687759399,0.2406080812215805
C,0.11838351935148239,0.28087523579597473,0.04381091520190239,0.344477117061615,0.07525528222322464,0.023835860192775726,0.6881694793701172,0.20977413654327393
CAG,0.18183410167694092,0.3386608064174652,0.03442246466875076,0.22312764823436737,0.014003477990627289,0.034792304039001465,0.6804761290550232,0.27769601345062256
CAH,0.1374395191669464,0.2394983023405075,0.04120099917054176,0.31255781650543213,0.03230195865035057,0.020600125193595886,0.761229395866394,0.23841801285743713
CAT,0.1341300904750824,0.27968642115592957,0.021926090121269226,0.27556586265563965,0.013589952141046524,0.04651791974902153,0.7226529717445374,0.23803994059562683
CB,0.12451208382844925,0.3483651876449585,0.02393561229109764,0.3007954955101013,0.03242099657654762,0.02044028602540493,0.6798518896102905,0.24579179286956787
CBOE,0.15459178388118744,0.3113419711589813,0.044713035225868225,0.28948545455932617,0.03121778927743435,0.02974257804453373,0.7102866768836975,0.25245487689971924
CBRE,0.15552520751953125,0.3277713358402252,0.060802873224020004,0.2461308240890503,0.04302911087870598,0.0231820996850729,0.687569260597229,0.279105007648468
CCI,0.13009822368621826,0.386942595243454,0.020969422534108162,0.29478442668914795,0.012556498870253563,0.030030176043510437,0.6538085341453552,0.22088871896266937
CDNS,0.1392708569765091,0.29522770643234253,0.038211748003959656,0.23719047009944916,0.014035973697900772,0.07346011698246002,0.6988582611083984,0.27259576320648193
CDW,0.1546695977449417,0.2653047442436218,0.004055662080645561,0.254746675491333,0.005522604566067457,0.022824354469776154,0.7879300117492676,0.25684434175491333
CE,0.11222836375236511,0.30465951561927795,0.026016484946012497,0.33560895919799805,0.0662154108285904,0.04596646502614021,0.7377508282661438,0.2678598165512085
